,File,gat Count,cells_picked,Replicate,N0,N_final,doubling_time_h,doubling_time_min
0,F01 yFT326_10cells_20h_rep3.fcs,38044,10 cells,rep3,10.0,38044.0,1.6815973981852539,100.89584389111523
1,D01 yFT326_10cells_20h_rep1.fcs,46188,10 cells,rep1,10.0,46188.0,1.6429395578816437,98.57637347289862
2,E01 yFT326_10cells_20h_rep2.fcs,13944,10 cells,rep2,10.0,13944.0,1.914713168888473,114.88279013330839
3,E02 yFT326_20cells_20h_rep2.fcs,134232,20 cells,rep2,20.0,134232.0,1.5732619696913968,94.3957181814838
4,F02 yFT326_20cells_20h_rep3.fcs,118628,20 cells,rep3,20.0,118628.0,1.595639824597155,95.73838947582931
5,D02 yFT326_20cells_20h_rep1.fcs,192580,20 cells,rep1,20.0,192580.0,1.5113536366151832,90.68121819691099
6,E03 yFT326_30cells_20h_rep2.fcs,225236,30 cells,rep2,30.0,225236.0,1.5534961168554489,93.20976701132693
7,F03 yFT326_30cells_20h_rep3.fcs,199268,30 cells,rep3,30.0,199268.0,1.575118182116287,94.50709092697721
8,D03 yFT326_30cells_20h_rep1.fcs,159120,30 cells,rep1,30.0,159120.0,1.6164404851125087,96.98642910675052
