growth_rate_ratio,simulation_index,time,mean_h,nspl,ndau,ngen,startbud,growth_rate_ratio
1.0,0,0.0,0.5,5,11,14,32,1.0
1.0,0,1.48369631,0.521875,5,11,14,32,1.0
1.0,0,2.96739262,0.528125,5,11,14,32,1.0
1.0,0,4.45108893,0.520703125,5,11,14,32,1.0
1.0,0,5.93478524,0.52265625,5,11,14,32,1.0
1.0,0,7.41848155,0.5265625,5,11,14,32,1.0
1.0,0,8.90217786,0.527685546875,5,11,14,32,1.0
1.0,0,10.385874170000001,0.5270263671875,5,11,14,32,1.0
1.0,0,11.86957048,0.52606201171875,5,11,14,32,1.0
1.0,0,13.35326679,0.525445556640625,5,11,14,32,1.0
1.0,0,14.8369631,0.5258056640625,5,11,14,32,1.0
1.0,0,16.32065941,0.525970458984375,5,11,14,32,1.0
1.0,0,17.80435572,0.5259941101074219,5,11,14,32,1.0
1.0,0,19.28805203,0.5259998321533204,5,11,14,32,1.0
1.0,0,20.771748340000002,0.5260360717773438,5,11,14,32,1.0
1.0,1,0.0,0.5,5,11,14,32,1.0
1.0,1,1.48369631,0.5015625,5,11,14,32,1.0
1.0,1,2.96739262,0.50234375,5,11,14,32,1.0
1.0,1,4.45108893,0.50859375,5,11,14,32,1.0
1.0,1,5.93478524,0.5119140625,5,11,14,32,1.0
1.0,1,7.41848155,0.5146484375,5,11,14,32,1.0
1.0,1,8.90217786,0.517626953125,5,11,14,32,1.0
1.0,1,10.385874170000001,0.51904296875,5,11,14,32,1.0
1.0,1,11.86957048,0.51939697265625,5,11,14,32,1.0
1.0,1,13.35326679,0.520050048828125,5,11,14,32,1.0
1.0,1,14.8369631,0.520123291015625,5,11,14,32,1.0
1.0,1,16.32065941,0.5202606201171875,5,11,14,32,1.0
1.0,1,17.80435572,0.5201339721679688,5,11,14,32,1.0
1.0,1,19.28805203,0.520321273803711,5,11,14,32,1.0
1.0,1,20.771748340000002,0.5202363967895508,5,11,14,32,1.0
1.0,2,0.0,0.5,5,11,14,32,1.0
1.0,2,1.48369631,0.4953125,5,11,14,32,1.0
1.0,2,2.96739262,0.5015625,5,11,14,32,1.0
1.0,2,4.45108893,0.501953125,5,11,14,32,1.0
1.0,2,5.93478524,0.5064453125,5,11,14,32,1.0
1.0,2,7.41848155,0.4986328125,5,11,14,32,1.0
1.0,2,8.90217786,0.49453125,5,11,14,32,1.0
1.0,2,10.385874170000001,0.494580078125,5,11,14,32,1.0
1.0,2,11.86957048,0.49359130859375,5,11,14,32,1.0
1.0,2,13.35326679,0.4929443359375,5,11,14,32,1.0
1.0,2,14.8369631,0.49337158203125,5,11,14,32,1.0
1.0,2,16.32065941,0.4931304931640625,5,11,14,32,1.0
1.0,2,17.80435572,0.49316940307617185,5,11,14,32,1.0
1.0,2,19.28805203,0.49306907653808596,5,11,14,32,1.0
1.0,2,20.771748340000002,0.49303340911865234,5,11,14,32,1.0
1.0,3,0.0,0.5,5,11,14,32,1.0
1.0,3,1.48369631,0.46875,5,11,14,32,1.0
1.0,3,2.96739262,0.471875,5,11,14,32,1.0
1.0,3,4.45108893,0.4734375,5,11,14,32,1.0
1.0,3,5.93478524,0.4822265625,5,11,14,32,1.0
1.0,3,7.41848155,0.4833984375,5,11,14,32,1.0
1.0,3,8.90217786,0.4841796875,5,11,14,32,1.0
1.0,3,10.385874170000001,0.4862548828125,5,11,14,32,1.0
1.0,3,11.86957048,0.4859130859375,5,11,14,32,1.0
1.0,3,13.35326679,0.486370849609375,5,11,14,32,1.0
1.0,3,14.8369631,0.48631591796875,5,11,14,32,1.0
1.0,3,16.32065941,0.48650054931640624,5,11,14,32,1.0
1.0,3,17.80435572,0.48644256591796875,5,11,14,32,1.0
1.0,3,19.28805203,0.4864677429199219,5,11,14,32,1.0
1.0,3,20.771748340000002,0.48647918701171877,5,11,14,32,1.0
1.0,4,0.0,0.5,5,11,14,32,1.0
1.0,4,1.48369631,0.5015625,5,11,14,32,1.0
1.0,4,2.96739262,0.48671875,5,11,14,32,1.0
1.0,4,4.45108893,0.49375,5,11,14,32,1.0
1.0,4,5.93478524,0.4841796875,5,11,14,32,1.0
1.0,4,7.41848155,0.48203125,5,11,14,32,1.0
1.0,4,8.90217786,0.484130859375,5,11,14,32,1.0
1.0,4,10.385874170000001,0.4847412109375,5,11,14,32,1.0
1.0,4,11.86957048,0.48369140625,5,11,14,32,1.0
1.0,4,13.35326679,0.483056640625,5,11,14,32,1.0
1.0,4,14.8369631,0.48223876953125,5,11,14,32,1.0
1.0,4,16.32065941,0.48213348388671873,5,11,14,32,1.0
1.0,4,17.80435572,0.48185272216796876,5,11,14,32,1.0
1.0,4,19.28805203,0.48192481994628905,5,11,14,32,1.0
1.0,4,20.771748340000002,0.4819192886352539,5,11,14,32,1.0
1.0,5,0.0,0.5,5,11,14,32,1.0
1.0,5,1.48369631,0.4921875,5,11,14,32,1.0
1.0,5,2.96739262,0.4765625,5,11,14,32,1.0
1.0,5,4.45108893,0.471875,5,11,14,32,1.0
1.0,5,5.93478524,0.4724609375,5,11,14,32,1.0
1.0,5,7.41848155,0.467578125,5,11,14,32,1.0
1.0,5,8.90217786,0.471923828125,5,11,14,32,1.0
1.0,5,10.385874170000001,0.4736572265625,5,11,14,32,1.0
1.0,5,11.86957048,0.47442626953125,5,11,14,32,1.0
1.0,5,13.35326679,0.473358154296875,5,11,14,32,1.0
1.0,5,14.8369631,0.4732513427734375,5,11,14,32,1.0
1.0,5,16.32065941,0.47343292236328127,5,11,14,32,1.0
1.0,5,17.80435572,0.4734619140625,5,11,14,32,1.0
1.0,5,19.28805203,0.4732982635498047,5,11,14,32,1.0
1.0,5,20.771748340000002,0.47325897216796875,5,11,14,32,1.0
1.0,6,0.0,0.5,5,11,14,32,1.0
1.0,6,1.48369631,0.490625,5,11,14,32,1.0
1.0,6,2.96739262,0.490625,5,11,14,32,1.0
1.0,6,4.45108893,0.49921875,5,11,14,32,1.0
1.0,6,5.93478524,0.4935546875,5,11,14,32,1.0
1.0,6,7.41848155,0.49365234375,5,11,14,32,1.0
1.0,6,8.90217786,0.493603515625,5,11,14,32,1.0
1.0,6,10.385874170000001,0.4950927734375,5,11,14,32,1.0
1.0,6,11.86957048,0.496142578125,5,11,14,32,1.0
1.0,6,13.35326679,0.49583740234375,5,11,14,32,1.0
1.0,6,14.8369631,0.495550537109375,5,11,14,32,1.0
1.0,6,16.32065941,0.49521484375,5,11,14,32,1.0
1.0,6,17.80435572,0.4956352233886719,5,11,14,32,1.0
1.0,6,19.28805203,0.4956207275390625,5,11,14,32,1.0
1.0,6,20.771748340000002,0.4956338882446289,5,11,14,32,1.0
1.0,7,0.0,0.5,5,11,14,32,1.0
1.0,7,1.48369631,0.5078125,5,11,14,32,1.0
1.0,7,2.96739262,0.49140625,5,11,14,32,1.0
1.0,7,4.45108893,0.487890625,5,11,14,32,1.0
