strain,growth_rate_ratio,mtdna_ratio,simulation_index,time,mean_h,nspl,ndau,ngen,startbud
WT and WT,1.0,0.8,0,20.771748340000002,0.4583889007568359,5,11,14,32
WT and WT,1.0,0.8,1,0.0,0.4375,5,11,14,32
WT and WT,1.0,0.8,1,1.48369631,0.434375,5,11,14,32
WT and WT,1.0,0.8,1,2.96739262,0.43125,5,11,14,32
WT and WT,1.0,0.8,1,4.45108893,0.42890625,5,11,14,32
WT and WT,1.0,0.8,1,5.93478524,0.430078125,5,11,14,32
WT and WT,1.0,0.8,1,7.41848155,0.429296875,5,11,14,32
WT and WT,1.0,0.8,1,8.90217786,0.4322265625,5,11,14,32
WT and WT,1.0,0.8,1,10.385874170000001,0.431689453125,5,11,14,32
WT and WT,1.0,0.8,1,11.86957048,0.4366943359375,5,11,14,32
WT and WT,1.0,0.8,1,13.35326679,0.43658447265625,5,11,14,32
WT and WT,1.0,0.8,1,14.8369631,0.437841796875,5,11,14,32
WT and WT,1.0,0.8,1,16.32065941,0.437640380859375,5,11,14,32
WT and WT,1.0,0.8,1,17.80435572,0.43799285888671874,5,11,14,32
WT and WT,1.0,0.8,1,19.28805203,0.4380317687988281,5,11,14,32
WT and WT,1.0,0.8,1,20.771748340000002,0.4379768371582031,5,11,14,32
WT and WT,1.0,0.7,0,0.0,0.40625,5,11,14,32
WT and WT,1.0,0.7,0,1.48369631,0.4,5,11,14,32
WT and WT,1.0,0.7,0,2.96739262,0.4203125,5,11,14,32
WT and WT,1.0,0.7,0,4.45108893,0.43203125,5,11,14,32
WT and WT,1.0,0.7,0,5.93478524,0.43359375,5,11,14,32
WT and WT,1.0,0.7,0,7.41848155,0.42890625,5,11,14,32
WT and WT,1.0,0.7,0,8.90217786,0.42607421875,5,11,14,32
WT and WT,1.0,0.7,0,10.385874170000001,0.431982421875,5,11,14,32
WT and WT,1.0,0.7,0,11.86957048,0.4303466796875,5,11,14,32
WT and WT,1.0,0.7,0,13.35326679,0.43076171875,5,11,14,32
WT and WT,1.0,0.7,0,14.8369631,0.43009033203125,5,11,14,32
WT and WT,1.0,0.7,0,16.32065941,0.4301116943359375,5,11,14,32
WT and WT,1.0,0.7,0,17.80435572,0.430072021484375,5,11,14,32
WT and WT,1.0,0.7,0,19.28805203,0.4300224304199219,5,11,14,32
WT and WT,1.0,0.7,0,20.771748340000002,0.4298702239990234,5,11,14,32
WT and WT,1.0,0.7,1,0.0,0.40625,5,11,14,32
WT and WT,1.0,0.7,1,1.48369631,0.409375,5,11,14,32
WT and WT,1.0,0.7,1,2.96739262,0.4109375,5,11,14,32
WT and WT,1.0,0.7,1,4.45108893,0.43125,5,11,14,32
WT and WT,1.0,0.7,1,5.93478524,0.428515625,5,11,14,32
WT and WT,1.0,0.7,1,7.41848155,0.4263671875,5,11,14,32
WT and WT,1.0,0.7,1,8.90217786,0.43046875,5,11,14,32
WT and WT,1.0,0.7,1,10.385874170000001,0.430419921875,5,11,14,32
WT and WT,1.0,0.7,1,11.86957048,0.430908203125,5,11,14,32
WT and WT,1.0,0.7,1,13.35326679,0.43111572265625,5,11,14,32
WT and WT,1.0,0.7,1,14.8369631,0.43060302734375,5,11,14,32
WT and WT,1.0,0.7,1,16.32065941,0.4310943603515625,5,11,14,32
WT and WT,1.0,0.7,1,17.80435572,0.43173675537109374,5,11,14,32
WT and WT,1.0,0.7,1,19.28805203,0.43165435791015627,5,11,14,32
WT and WT,1.0,0.7,1,20.771748340000002,0.43154029846191405,5,11,14,32
WT and WT,1.0,0.6,0,0.0,0.375,5,11,14,32
WT and WT,1.0,0.6,0,1.48369631,0.384375,5,11,14,32
WT and WT,1.0,0.6,0,2.96739262,0.3640625,5,11,14,32
WT and WT,1.0,0.6,0,4.45108893,0.36015625,5,11,14,32
WT and WT,1.0,0.6,0,5.93478524,0.366015625,5,11,14,32
WT and WT,1.0,0.6,0,7.41848155,0.3697265625,5,11,14,32
WT and WT,1.0,0.6,0,8.90217786,0.375390625,5,11,14,32
WT and WT,1.0,0.6,0,10.385874170000001,0.37685546875,5,11,14,32
WT and WT,1.0,0.6,0,11.86957048,0.3764892578125,5,11,14,32
WT and WT,1.0,0.6,0,13.35326679,0.37803955078125,5,11,14,32
WT and WT,1.0,0.6,0,14.8369631,0.377294921875,5,11,14,32
WT and WT,1.0,0.6,0,16.32065941,0.3767852783203125,5,11,14,32
WT and WT,1.0,0.6,0,17.80435572,0.37695159912109377,5,11,14,32
WT and WT,1.0,0.6,0,19.28805203,0.3773345947265625,5,11,14,32
WT and WT,1.0,0.6,0,20.771748340000002,0.3774871826171875,5,11,14,32
WT and WT,1.0,0.6,1,0.0,0.375,5,11,14,32
WT and WT,1.0,0.6,1,1.48369631,0.403125,5,11,14,32
WT and WT,1.0,0.6,1,2.96739262,0.3921875,5,11,14,32
WT and WT,1.0,0.6,1,4.45108893,0.384375,5,11,14,32
