Strain,relative_mtDNA_levels
ATP6-NG,1.0000758573673818
WT (ic),0.8628341973708226
WT (il),1.1979379980377283
∆atp6,0.8142781176585493
∆cob,1.1657659918278611
∆cox2,0.8839176032963242
