Strain,relative_mtDNA_levels
ATP6-NG,1.0000263119047512
WT (ic),0.9884393026057371
WT (il),1.169888736668149
∆atp6,0.9932695764820846
∆cob,1.4268401194126064
∆cox2,0.8967887091864656
